season,week,n_bets,wins,losses,pushes,staked_units,profit_units,roi,win_rate
2025,1,930.0,540.0,390.0,0.0,930.0,100.90909090909092,0.10850439882697949,0.5806451612903226
2025,2,924.0,515.0,409.0,0.0,924.0,59.181818181818194,0.06404958677685951,0.5573593073593074
2025,3,927.0,540.0,387.0,0.0,927.0,103.9090909090909,0.11209179170344219,0.5825242718446602
2025,4,1048.0,562.0,486.0,0.0,1048.0,24.909090909090914,0.023768216516308123,0.5362595419847328
2025,5,949.0,493.0,456.0,0.0,949.0,-7.8181818181818254,-0.0082383370054603,0.5194942044257113
2025,6,977.0,552.0,425.0,0.0,977.0,76.81818181818181,0.07862659346794454,0.5649948822927329
2025,7,999.0,524.0,475.0,0.0,999.0,1.3636363636363722,0.0013650013650013735,0.5245245245245245
2025,8,854.0,464.0,390.0,0.0,854.0,31.818181818181802,0.03725782414307002,0.5433255269320844
2025,9,921.0,505.0,416.0,0.0,921.0,43.090909090909086,0.046787089132366,0.5483170466883822
2025,10,953.0,487.0,466.0,0.0,953.0,-23.272727272727273,-0.02442049031765716,0.5110178384050367
2025,11,977.0,556.0,421.0,0.0,977.0,84.45454545454544,0.0864427282032195,0.5690890481064483
2025,12,912.0,512.0,400.0,0.0,912.0,65.45454545454545,0.07177033492822966,0.5614035087719298
2025,13,1029.0,580.0,449.0,0.0,1029.0,78.27272727272727,0.07606679035250463,0.5636540330417882
2025,14,947.0,521.0,426.0,0.0,947.0,47.63636363636365,0.05030239032350966,0.5501583949313622
2025,15,1047.0,560.0,487.0,0.0,1047.0,22.090909090909097,0.021099244594946606,0.5348615090735435
2025,16,1082.0,590.0,492.0,0.0,1082.0,44.363636363636374,0.04100151235086541,0.5452865064695009
2025,17,1041.0,560.0,481.0,0.0,1041.0,28.09090909090909,0.026984542834686927,0.5379442843419788
2025,18,1026.0,603.0,423.0,0.0,1026.0,125.18181818181817,0.12200956937799042,0.5877192982456141
2025,19,404.0,237.0,167.0,0.0,404.0,48.45454545454545,0.11993699369936993,0.5866336633663366
2025,20,274.0,158.0,116.0,0.0,274.0,27.636363636363633,0.1008626410086264,0.5766423357664233
2025,21,124.0,77.0,47.0,0.0,124.0,23.0,0.18548387096774194,0.6209677419354839
2025,22,62.0,39.0,23.0,0.0,62.0,12.454545454545453,0.20087976539589442,0.6290322580645161
